t,y
0.0,1.175999907830095
0.03321111111111145,1.1785050323413109
0.06652222222222258,1.1668144512889689
0.09981111111111136,1.1526187457254111
0.13311111111111132,1.1342478326431595
0.16638888888888892,1.1058564215160436
0.19970000000000004,1.065774429336586
0.2329666666666669,1.0223522711421738
0.26627777777777784,0.9597241583617708
0.299577777777778,0.8863040551472041
0.33285555555555585,0.8037970425689749
0.3661555555555556,0.7297282471862463
0.3994555555555557,0.6387830174125162
0.4327555555555557,0.5370123007086582
0.4660333333333335,0.4306403265901653
0.4993222222222223,0.3115677061647661
0.5327000000000003,0.19278649564251493
0.5659111111111113,0.04300765311484689
