t_e_1,y_e_1,t_e_2,y_e_2,t_e_3,y_e_3,t_mean,y_mean,t_std,y_std
0.0,1.175999907830095,0.0,1.1431954398453903,0.0,1.1513760219461644,0.0,1.1568571232072167,0.0,0.013941906450585293
0.0332111111111114,1.1785050323413109,0.0333,1.1396494403795097,0.0332999999999999,1.1380001496976546,0.033270370370370436,1.1520515408061585,4.190262407015503e-05,0.018717557724208248
0.0665222222222225,1.1668144512889689,0.0665777777777777,1.1290114419818669,0.0665888888888888,1.1162643572938262,0.06656296296296299,1.1373634168548874,2.9162992125800002e-05,0.02146539251817699
0.0998111111111113,1.1526187457254111,0.0998777777777776,1.107735445186581,0.0998777777777778,1.0853326527191478,0.09985555555555557,1.1152289478770467,3.142696805261096e-05,0.0279758111582237
0.1331111111111113,1.1342478326431595,0.1331777777777778,1.069911450883851,0.1331777777777777,1.0435330519425552,0.1331555555555556,1.0825641118231886,3.1426968052640396e-05,0.03809952082834345
0.1663888888888889,1.1058564215160436,0.1664777777777778,1.021449458183478,0.1664777777777777,0.9858496028708572,0.16644814814814812,1.0377184941901263,4.190262407030059e-05,0.050325078438580195
0.1997,1.065774429336586,0.1997555555555555,0.9599854674415416,0.1997555555555554,0.9256581777525638,0.19973703703703696,0.9838060248435637,2.6189140043901886e-05,0.05963055819346618
0.2329666666666669,1.0223522711421738,0.2330666666666667,0.9020674761654862,0.2330555555555555,0.8526692461489811,0.2330296296296297,0.9256963311522138,4.475202212430864e-05,0.07125926528622065
0.2662777777777778,0.9597241583617708,0.2663444444444445,0.8240554879161054,0.2663555555555555,0.7684078727023052,0.2663259259259259,0.8507291729933938,3.434673516849816e-05,0.08034962931395655
0.299577777777778,0.8863040551472041,0.2996333333333332,0.740133500556923,0.2996444444444444,0.6767736290790449,0.2996185185185185,0.7677370615943907,2.9162992125824677e-05,0.08773907262840194
0.3328555555555558,0.8037970425689749,0.3329222222222223,0.6479375144440185,0.3329333333333334,0.5819795839515345,0.3329037037037038,0.6779047136548426,3.4346735168426325e-05,0.09300276342948413
0.3661555555555556,0.7297282471862463,0.3662111111111112,0.5510135290432725,0.3662333333333333,0.4661201954623553,0.3662000000000001,0.5822873238972913,3.271022543081304e-05,0.10986609703587619
0.3994555555555557,0.6387830174125162,0.3995222222222221,0.4292675473813601,0.3995222222222222,0.3565804099816767,0.3995,0.474876991591851,3.142696805265348e-05,0.11963763053789704
0.4327555555555557,0.5370123007086582,0.4328000000000001,0.3278630572403314,0.4328111111111112,0.2434886930785711,0.43278888888888906,0.3694546836758536,2.400274332739676e-05,0.12338672160112249
0.4660333333333335,0.4306403265901653,0.4661000000000001,0.2042182577501808,0.4661111111111111,0.1155819147021977,0.4660814814814816,0.2501468330141813,3.4346735168430316e-05,0.13265877592449432
0.4993222222222223,0.3115677061647661,0.4993888888888889,0.1122308598411512,0.4994555555555557,0.0002150165588017,0.49938888888888894,0.14133786085490632,5.4433105395221066e-05,0.12876474015875633
0.5327000000000003,0.1927864956425149,0.5326888888888891,0.0,0.5327000000000003,0.0,0.5326962962962966,0.06426216521417163,5.237828008823555e-06,0.09088042559334206
0.5659111111111113,0.0430076531148468,0.5659111111111113,0.0,0.5659111111111113,0.0,0.5659111111111113,0.0143358843716156,0.0,0.020274002106951274
