t,y
0.0,1.1513760219461644
0.033299999999999955,1.1380001496976546
0.06658888888888885,1.1162643572938262
0.0998777777777778,1.0853326527191478
0.13317777777777776,1.0435330519425552
0.16647777777777775,0.9858496028708572
0.19975555555555544,0.9256581777525638
0.23305555555555554,0.8526692461489811
0.2663555555555555,0.7684078727023052
0.2996444444444444,0.6767736290790449
0.3329333333333334,0.5819795839515345
0.36623333333333336,0.4661201954623553
0.3995222222222222,0.3565804099816767
0.4328111111111112,0.24348869307857116
0.4661111111111111,0.1155819147021977
0.4994555555555557,0.00021501655880173942
