t_e_1,v_e_1,t_e_2,v_e_2,t_e_3,v_e_3,t_mean,v_mean,v_std
0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.0332111111111114,-0.28658324342379243,0.0333,-0.21758730805859974,0.0332999999999999,-0.2645666577220235,0.0332703703703704,-0.2232861693891513,0.028717703334018886
0.0665222222222225,-0.5740294005949272,0.0665777777777777,-0.4350294127084177,0.0665888888888888,-0.5290450382809774,0.0665629629629629,-0.4467214779318512,0.057719530645817384
0.0998111111111113,-0.8612837991555403,0.0998777777777776,-0.6526167207670168,0.0998777777777778,-0.7935234188399322,0.0998555555555555,-0.6701567864745519,0.08661864376683291
0.1331111111111113,-1.1486340770214147,0.1331777777777778,-0.8702040288256179,0.1331777777777777,-1.0580900765619556,0.1331555555555556,-0.8936418080684363,0.11555201599919122
0.1663888888888889,-1.4357925962767664,0.1664777777777778,-1.0877913368842176,0.1664777777777777,-1.32265673428398,0.1664481481481481,-1.1170771166111362,0.14443133052133678
0.1997,-1.7232387534479012,0.1997555555555555,-1.3052334415340356,0.1997555555555554,-1.5870468376798628,0.1997370370370369,-1.3404875686282447,0.17342654516201433
0.2329666666666669,-2.010301393397996,0.2330666666666667,-1.5228933512970264,0.2330555555555555,-1.8516134954018877,0.2330296296296297,-1.5639228771709466,0.20225424519278434
0.2662777777777778,-2.297747550569129,0.2663444444444445,-1.7403354559468451,0.2663555555555555,-2.116180153123912,0.2663259259259259,-1.787383042239238,0.23126380314307904
0.299577777777778,-2.5850978284350052,0.2996333333333332,-1.9578501623010531,0.2996444444444444,-2.380658533682866,0.2996185185185185,-2.0108183507819386,0.26021460940351715
0.3328555555555558,-2.872256347690359,0.3329222222222223,-2.1753648686552634,0.3329333333333334,-2.645136914241821,0.3329037037037038,-2.234203946273457,0.2891113057271812
0.3661555555555556,-3.159606625556232,0.3662111111111112,-2.3928795750094727,0.3662333333333333,-2.909703571963844,0.3662000000000001,-2.457664111341749,0.3180692685398768
0.3994555555555557,-3.4469569034221066,0.3995222222222221,-2.610539484772462,0.3995222222222222,-3.1741819525227983,0.3995,-2.6811491329356323,0.34697097577207436
0.4327555555555557,-3.7343071812879813,0.4328000000000001,-2.8279815894222815,0.4328111111111112,-3.438660333081753,0.432788888888889,-2.9045595849527417,0.37594635068201876
0.4660333333333335,-4.0214657005433345,0.4661000000000001,-3.0455688974808814,0.4661111111111111,-3.7032269908037763,0.4660814814814816,-3.1279948934954422,0.4048256343752262
0.4993222222222223,-4.308720099103947,0.4993888888888889,-3.26308360383509,0.4994555555555557,0.0,0.4993888888888889,-3.3515296281405083,1.6290895909122864
0.5327000000000003,-4.596741532106647,0.5326888888888891,-3.480670911893691,0.5327000000000003,0.0,0.5326962962962966,0.0,2.057544335018941
0.5659111111111113,-4.883324775530436,0.5659111111111113,0.0,0.5659111111111113,0.0,0.5659111111111113,0.0,2.1145416552696497
