t_e_1,y_e_1,t_e_2,y_e_2,t_e_3,y_e_3,t_mean,y_mean,t_std,y_std,v_e_1,v_e_2,v_e_3,v_mean,v_std
0.0,1.175999907830095,0.0,1.1431954398453903,0.0,1.1513760219461644,0.0,1.156857123207217,0.0,0.0139419064505852,-0.0,-0.0,-0.0,-0.0,0.0
0.0332111111111114,1.1785050323413109,0.0333,1.1396494403795097,0.0332999999999999,1.1380001496976546,0.0332703703703704,1.1520515408061585,4.190262407015503e-05,0.0187175577242082,-0.28658324342379243,-0.21758730805859974,-0.2645666577220235,-0.2232861693891513,0.028717703334018886
0.0665222222222225,1.1668144512889689,0.0665777777777777,1.1290114419818669,0.0665888888888888,1.1162643572938262,0.0665629629629629,1.1373634168548874,2.91629921258e-05,0.0214653925181769,-0.5740294005949272,-0.4350294127084177,-0.5290450382809774,-0.4467214779318512,0.057719530645817384
0.0998111111111113,1.1526187457254111,0.0998777777777776,1.107735445186581,0.0998777777777778,1.0853326527191478,0.0998555555555555,1.1152289478770467,3.142696805261096e-05,0.0279758111582237,-0.8612837991555403,-0.6526167207670168,-0.7935234188399322,-0.6701567864745519,0.08661864376683291
0.1331111111111113,1.1342478326431595,0.1331777777777778,1.069911450883851,0.1331777777777777,1.0435330519425552,0.1331555555555556,1.0825641118231886,3.14269680526404e-05,0.0380995208283434,-1.1486340770214147,-0.8702040288256179,-1.0580900765619556,-0.8936418080684363,0.11555201599919122
0.1663888888888889,1.1058564215160436,0.1664777777777778,1.021449458183478,0.1664777777777777,0.9858496028708572,0.1664481481481481,1.0377184941901263,4.190262407030059e-05,0.0503250784385801,-1.4357925962767664,-1.0877913368842176,-1.32265673428398,-1.1170771166111362,0.14443133052133678
0.1997,1.065774429336586,0.1997555555555555,0.9599854674415416,0.1997555555555554,0.9256581777525638,0.1997370370370369,0.9838060248435636,2.618914004390189e-05,0.0596305581934661,-1.7232387534479012,-1.3052334415340356,-1.5870468376798628,-1.3404875686282447,0.17342654516201433
0.2329666666666669,1.0223522711421738,0.2330666666666667,0.9020674761654862,0.2330555555555555,0.8526692461489811,0.2330296296296297,0.9256963311522138,4.475202212430864e-05,0.0712592652862206,-2.010301393397996,-1.5228933512970264,-1.8516134954018877,-1.5639228771709466,0.20225424519278434
0.2662777777777778,0.9597241583617708,0.2663444444444445,0.8240554879161054,0.2663555555555555,0.7684078727023052,0.2663259259259259,0.8507291729933938,3.434673516849816e-05,0.0803496293139565,-2.297747550569129,-1.7403354559468451,-2.116180153123912,-1.787383042239238,0.23126380314307904
0.299577777777778,0.8863040551472041,0.2996333333333332,0.740133500556923,0.2996444444444444,0.6767736290790449,0.2996185185185185,0.7677370615943907,2.916299212582468e-05,0.0877390726284019,-2.5850978284350052,-1.9578501623010531,-2.380658533682866,-2.0108183507819386,0.26021460940351715
0.3328555555555558,0.8037970425689749,0.3329222222222223,0.6479375144440185,0.3329333333333334,0.5819795839515345,0.3329037037037038,0.6779047136548426,3.4346735168426325e-05,0.0930027634294841,-2.872256347690359,-2.1753648686552634,-2.645136914241821,-2.234203946273457,0.2891113057271812
0.3661555555555556,0.7297282471862463,0.3662111111111112,0.5510135290432725,0.3662333333333333,0.4661201954623553,0.3662000000000001,0.5822873238972913,3.271022543081304e-05,0.1098660970358761,-3.159606625556232,-2.3928795750094727,-2.909703571963844,-2.457664111341749,0.3180692685398768
0.3994555555555557,0.6387830174125162,0.3995222222222221,0.4292675473813601,0.3995222222222222,0.3565804099816767,0.3995,0.474876991591851,3.142696805265348e-05,0.119637630537897,-3.4469569034221066,-2.610539484772462,-3.1741819525227983,-2.6811491329356323,0.34697097577207436
0.4327555555555557,0.5370123007086582,0.4328000000000001,0.3278630572403314,0.4328111111111112,0.2434886930785711,0.432788888888889,0.3694546836758536,2.400274332739676e-05,0.1233867216011224,-3.7343071812879813,-2.8279815894222815,-3.438660333081753,-2.9045595849527417,0.37594635068201876
0.4660333333333335,0.4306403265901653,0.4661000000000001,0.2042182577501808,0.4661111111111111,0.1155819147021977,0.4660814814814816,0.2501468330141813,3.434673516843032e-05,0.1326587759244943,-4.0214657005433345,-3.0455688974808814,-3.7032269908037763,-3.1279948934954422,0.4048256343752262
0.4993222222222223,0.3115677061647661,0.4993888888888889,0.1122308598411512,0.4994555555555557,0.0002150165588017,0.4993888888888889,0.1413378608549063,5.4433105395221066e-05,0.1287647401587563,-4.308720099103947,-3.26308360383509,0.0,-3.3515296281405083,1.6290895909122864
0.5327000000000003,0.1927864956425149,0.5326888888888891,0.0,0.5327000000000003,0.0,0.5326962962962966,0.0642621652141716,5.237828008823555e-06,0.090880425593342,-4.596741532106647,-3.480670911893691,0.0,0.0,2.057544335018941
0.5659111111111113,0.0430076531148468,0.5659111111111113,0.0,0.5659111111111113,0.0,0.5659111111111113,0.0143358843716156,0.0,0.0202740021069512,-4.883324775530436,0.0,0.0,0.0,2.1145416552696497
